year0,dest_reg,origien_reg,flow
2,DIRIGEANT ,MANAGER,0
3,DIRIGEANT ,MANAGER,0
4,DIRIGEANT ,MANAGER,0.002222222
5,DIRIGEANT ,MANAGER,0.008006536
6,DIRIGEANT ,MANAGER,0.064117647
7,DIRIGEANT ,MANAGER,0.465130719
8,DIRIGEANT ,MANAGER,1.676372549
9,DIRIGEANT ,MANAGER,2.515915033
10,DIRIGEANT ,MANAGER,2.337581699
11,DIRIGEANT ,MANAGER,2.218562092
12,DIRIGEANT ,MANAGER,1.989444444
13,DIRIGEANT ,MANAGER,1.725522876
14,DIRIGEANT ,MANAGER,2.036437908
15,DIRIGEANT ,MANAGER,2.095718954
16,DIRIGEANT ,MANAGER,2.124052288
17,DIRIGEANT ,MANAGER,2.254705882
18,DIRIGEANT ,MANAGER,2.000065359
19,DIRIGEANT ,MANAGER,1.173006536
20,DIRIGEANT ,MANAGER,0.436764706
21,DIRIGEANT ,MANAGER,0.35496732
22,DIRIGEANT ,MANAGER,0.073039216
23,DIRIGEANT ,MANAGER,0.038137255
0,DIRIGEANT ,DIRIGEANT,0.029346405
1,DIRIGEANT ,DIRIGEANT,0.006045752
2,DIRIGEANT ,DIRIGEANT,0
3,DIRIGEANT ,DIRIGEANT,0.000490196
4,DIRIGEANT ,DIRIGEANT,0.001470588
5,DIRIGEANT ,DIRIGEANT,0.000490196
6,DIRIGEANT ,DIRIGEANT,0.013235294
7,DIRIGEANT ,DIRIGEANT,0.140751634
8,DIRIGEANT ,DIRIGEANT,1.299379085
9,DIRIGEANT ,DIRIGEANT,1.803202614
10,DIRIGEANT ,DIRIGEANT,1.828660131
11,DIRIGEANT ,DIRIGEANT,1.840980392
12,DIRIGEANT ,DIRIGEANT,1.472385621
13,DIRIGEANT ,DIRIGEANT,1.256470588
14,DIRIGEANT ,DIRIGEANT,1.580784314
15,DIRIGEANT ,DIRIGEANT,1.551895425
16,DIRIGEANT ,DIRIGEANT,1.820686275
17,DIRIGEANT ,DIRIGEANT,1.938496732
18,DIRIGEANT ,DIRIGEANT,1.590326797
19,DIRIGEANT ,DIRIGEANT,1.385326797
20,DIRIGEANT ,DIRIGEANT,0.634183007
21,DIRIGEANT ,DIRIGEANT,0.46124183
22,DIRIGEANT ,DIRIGEANT,0.254215686
23,DIRIGEANT ,DIRIGEANT,0.112777778
